,star,ra,dec,comment,ra_deg,dec_deg,MAIN_ID,RA_2_A_ICRS_J2017_5_2000,DEC_2_D_ICRS_2017_5_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,FLUX_I,FLUX_H,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,S_Type
157,HIP 30034 ,06:19:12.9 ,-58:03:15.8 ,H-coron (~1 hr),94.80375,-58.0543888888889,b'HD  44627',06 19 12.9446,-58 03 15.524,50.12,,pc,-0.0731,0.0731,paral,2018yCat.1345....0G,,,,,,,,8.1850004196167,7.0879998207092285,5027,,,,b'SUN',,2011A&A...530A.138C,K1V(e)
158,HIP 30252 ,06:21:50.0 ,-51:14:15.8 ,H-coron (~1 hr); H-coron-pol,95.4583333333333,-51.2377222222222,b'V* V435 Car',06 21 50.0816,-51 14 15.749,71.4281,,pc,-0.1653,0.1653,paral,2018yCat.1345....0G,,,,,,,,,6.297999858856201,7762,,,,b'SUN',,2012A&A...537A.120Z,A5V
159,HD 44748 ,06:21:57.2 ,-34:30:43.7 ,H-coron (~1 hr),95.4883333333333,-34.5121388888889,b'HD  44748',06 21 57.2422,-34 30 43.750,60.9522,,pc,-0.1037,0.1037,paral,2018yCat.1345....0G,,,,,,,,8.34000015258789,7.581999778747559,5738,,,,b'SUN',,2011A&A...530A.138C,G6V
160,HD 45270 ,06:22:31.0 ,-60:13:07.7 ,H-coron (~1 hr),95.6291666666667,-60.2188055555556,b'HD  45270',06 22 30.9139,-60 13 07.143,23.8896,,pc,-0.0144,0.0144,paral,2018yCat.1345....0G,,,,,,,,5.869999885559082,5.159999847412109,5897,4.440000057220459,,,b'',,2003AJ....125.1598L,G1V
161,HIP 30344 ,06:22:57.7 ,-24:33:21.6 ,H-coron (~1 hr),95.7404166666667,-24.555999999999997,b'HD  44821',06 22 57.6660,-24 33 21.731,29.5131,,pc,-0.0276,0.0276,paral,2018yCat.1345....0G,,,,,,,,,5.9120001792907715,5783,4.53000020980835,0.10999999940395355,,b'SUN',,2005ApJS..159..141V,K0/1V(+G)
162,HIP 30729 ,06:27:20.7 ,-33:06:49.9 ,H-coron (~1 hr),96.83625,-33.1138611111111,b'HD  45665',06 27 20.6445,-33 06 50.442,44.2339,,pc,-0.0536,0.0536,paral,2018yCat.1345....0G,,,,,,,,,6.811999797821045,5636,,,,b'SUN',,2011A&A...530A.138C,G5V
163,HIP 31167 ,06:32:23.1 ,-05:52:07.4 ,H-coron (~1 hr),98.09625,-5.868722222222219,b'HD  46304',06 32 23.1288,-05 52 07.740,44.3553,,pc,-0.2184,0.2184,paral,2018yCat.1345....0G,,,,,,,,,5.006999969482422,7362,,,,b'SUN',,2012A&A...537A.120Z,F0Vn
164,HIP 31850 ,06:39:31.5 ,24:35:59.8 ,H-coron (~1 hr),99.88125,24.5999444444444,b'HD  47415',06 39 31.5075,+24 36 00.589,35.6938,,pc,-0.0521,0.0521,paral,2018yCat.1345....0G,,,,,,,,,5.142000198364258,6164,,,,b'SUN',,2011A&A...530A.138C,F8IV
165,HIP 31878 ,06:39:50.1 ,-61:28:42.2 ,H-coron (~1 hr),99.95875,-61.4783888888889,b'CD-61  1439',06 39 49.9574,-61 28 41.529,22.2412,,pc,-0.0142,0.0142,paral,2018yCat.1345....0G,,,,,,,,8.222999572753906,6.64300012588501,4170,4.679999828338623,,,b'SUN',,2014MNRAS.442..220F,K7V(e)
166,TYC 4803-1418-1,06:40:22.4 ,-03:31:59.1 ,H-coron (~1 hr),100.09333333333299,-3.5330833333333302,b'HD 295290',06 40 22.3618,-03 31 59.097,60.8472,,pc,-0.1636,0.1636,paral,2018yCat.1345....0G,,,,,,,,8.1899995803833,7.019999980926514,0,,,,b'',,,G0
167,HIP 32075 ,06:42:05.5 ,-38:00:13.7 ,H-coron (~1 hr),100.522916666667,-38.0038055555556,b'HD  48524',06 42 05.5577,-38 00 13.478,,,,,,,,,,,,,,,,,5884,,,,b'SUN',,2011A&A...530A.138C,G0V
168,* 26 Gem ,06:42:24.3 ,17:38:43.1 ,H-coron (~1 hr),100.60125,17.645305555555602,b'*  26 Gem',06 42 24.3368,+17 38 43.111,47.462,,pc,-1.6354,1.6354,paral,2018yCat.1345....0G,,,,,,,,,5.070000171661377,8892,,,,b'SUN',,2012A&A...537A.120Z,A2V
169,TYC 4803-625-1,06:43:01.0 ,-02:53:19.3 ,H-coron (~1 hr); H-coron-pol,100.754166666667,-2.88869444444444,b'HD  48370',06 43 01.0407,-02 53 19.315,36.0719,,pc,-0.0682,0.0682,paral,2018yCat.1345....0G,,,,,,,,,6.40500020980835,5619,,,,b'SUN',,2011A&A...530A.138C,K0V(+G)
170,HIP 32235 ,06:43:46.3 ,-71:58:35.8 ,H-coron (~1 hr),100.942916666667,-71.9766111111111,b'HD  49855',06 43 46.2736,-71 58 35.392,55.5871,,pc,-0.1013,0.1013,paral,2018yCat.1345....0G,,,,,,,,8.258999824523926,7.380000114440918,5628,,,,b'SUN',,2011A&A...530A.138C,G6V
171,HIP 32349 ,06:45:08.9 ,-16:42:58.0 ,H-coron (~1 hr),101.287083333333,-16.7161111111111,b'* alf CMa',06 45 08.2521,-16 42 58.017,,,,,,,,,,,,,,,-1.4299999475479126,-1.3300000429153442,9882,4.300000190734863,0.25999999046325684,,b'SUN',,1989A&A...225..125L,A1V+DA
172,HD 50571 ,06:50:01.0 ,-60:14:57.9 ,H-coron (~1 hr); H-coron-pol,102.504166666667,-60.2494166666667,b'HD  50571',06 50 01.0265,-60 14 56.921,,,,,,,,960000.0,,km,,,,2007ApJ...660.1556R,,5.127999782562256,6534,4.179999828338623,,,b'',,2003AJ....125.1598L,F5VFe+0.4
173,HIP 32938 ,06:51:42.5 ,-36:13:48.5 ,H-coron (~1 hr),102.927083333333,-36.230138888888895,b'HD  50445',06 51 42.3623,-36 13 48.974,55.4093,,pc,-0.1716,0.1716,paral,2018yCat.1345....0G,,,,,,,,,5.534999847412109,7825,,,,b'SUN',,2006A&A...458..293P,A3V
174,HD 50554 ,06:54:42.8 ,24:14:44.0 ,H-coron (~1 hr); H-coron-pol,103.678333333333,24.2455555555556,b'HD  50554',06 54 42.7802,+24 14 44.008,31.1944,,pc,-0.0551,0.0551,paral,2018yCat.1345....0G,,,,,,,,,5.515999794006348,6129,4.409999847412109,0.009999999776482582,,b'SUN',,2013A&A...552A...6G,F8V
175,HD 51797 ,06:56:23.5 ,-46:46:55.0 ,H-coron (~1 hr),104.097916666667,-46.7819444444444,b'HD  51797',06 56 23.5446,-46 46 55.085,95.6489,,pc,-0.2388,0.2388,paral,2018yCat.1345....0G,,,,,,,,9.210000038146973,7.89300012588501,5206,,,,b'SUN',,2011A&A...530A.138C,K0V(e)
176,HD 53143 ,06:59:59.7 ,-61:20:10.2 ,H-coron (~1 hr); H-coron-pol,104.99875,-61.3361666666667,b'HD  53143',06 59 59.2617,-61 20 10.249,18.3602,,pc,-0.0079,0.0079,paral,2018yCat.1345....0G,612000.0,,km,,,,2007ApJ...660.1556R,5.989999771118164,5.0970001220703125,5326,4.400000095367432,,,b'',,2003AJ....125.1598L,G9V
177,HIP 33705 ,07:00:09.8 ,-31:08:30.5 ,H-coron (~1 hr),105.040833333333,-31.1418055555556,b'HD  52516',07 00 09.7982,-31 08 30.068,38.1233,,pc,-0.043,0.043,paral,2018yCat.1345....0G,,,,,,,,,5.526000022888184,6503,4.329999923706055,,,b'',,2003AJ....125.1598L,F5.5VFe-0.7CH-0.4
178,HD 55279 ,07:00:30.4 ,-79:41:45.9 ,H-coron (~1 hr); H-coron-pol,105.126666666667,-79.6960833333333,b'HD  55279',07 00 30.5029,-79 41 45.988,63.7999,,pc,-0.0839,0.0839,paral,2018yCat.1345....0G,,,,,,,,9.013999938964844,7.830999851226807,4938,4.590000152587891,,,b'SUN',,2014MNRAS.442..220F,K2V
179,HIP 34271 ,07:06:16.8 ,22:41:00.6 ,H-coron (~1 hr),106.57,22.6835,b'HD  53532',07 06 16.6853,+22 41 00.553,43.1941,,pc,-0.0961,0.0961,paral,2018yCat.1345....0G,,,,,,,,,6.708000183105469,5698,4.559999942779541,0.11900000274181366,,b'SUN',,2012A&A...547A..13T,G0V
180,HIP 34782 ,07:12:04.1 ,-30:49:17.0 ,H-coron (~1 hr),108.01708333333299,-30.821388888888897,b'HD  55568',07 12 04.0297,-30 49 16.917,47.423,,pc,-0.0866,0.0866,paral,2018yCat.1345....0G,,,,,,,,,5.459000110626221,7372,,,,b'SUN',,2012A&A...542A.116A,A8III/IV
181,HIP 35350 ,07:18:05.6 ,16:32:25.7 ,H-coron (~1 hr),109.523333333333,16.5404722222222,b'* lam Gem',07 18 05.5257,+16 32 25.390,28.1901,,pc,-0.3472,0.3472,paral,2018yCat.1345....0G,,,,,,,,,3.5,8395,,,,b'SUN',,2012A&A...537A.120Z,A4IV
182,HIP 35564 ,07:20:21.4 ,-52:18:41.0 ,H-coron (~1 hr),110.089166666667,-52.3113888888889,b'CPD-52  1153',07 20 21.3554,-52 18 41.482,,,,,,,,,,,,,,,,,6603,4.050000190734863,,,b'',,2003AJ....125.1598L,
183,TYC 8132-2110-1,07:20:21.9 ,-52:18:33.3 ,H-coron (~1 hr),110.09125,-52.30925,b'HD  57853',07 20 21.7960,-52 18 33.275,36.649,,pc,-0.5864,0.5864,paral,2018yCat.1345....0G,,,,,,,,8.680000305175781,5.260000228881836,0,,,,b'',,,F9V
184,HIP 35567 ,07:20:23.0 ,-56:17:41.3 ,H-coron (~1 hr); H-coron-pol,110.09583333333299,-56.2948055555556,b'HD  57969',07 20 22.8966,-56 17 40.726,72.2032,,pc,-0.1741,0.1741,paral,2018yCat.1345....0G,,,,,,,,,6.394000053405762,0,,,,b'',,,A1V
185,TYC 7116-2739-1,07:22:16.3 ,-35:55:06.6 ,H-coron (~1 hr),110.567916666667,-35.9185,b'HD  58038B',07 22 16.1951,-35 55 05.791,59.0263,,pc,-0.1331,0.1331,paral,2018yCat.1345....0G,,,,,,,,,6.809999942779541,0,,,,b'',,,
186,HIP 35884 ,07:23:53.8 ,-17:24:48.2 ,H-coron (~1 hr),110.974166666667,-17.4133888888889,b'HD  58192',07 23 53.7307,-17 24 48.365,36.5938,,pc,-0.0526,0.0526,paral,2018yCat.1345....0G,,,,,,,,,5.690999984741211,6287,3.950000047683716,,,b'',,2003AJ....125.1598L,F7V
187,HIP 36071 ,07:25:57.2 ,-02:14:54.5 ,H-coron (~1 hr),111.488333333333,-2.24847222222222,b'HD  58556',07 25 57.2000,-02 14 54.482,33.9252,,pc,-0.0517,0.0517,paral,2018yCat.1345....0G,,,,,,,,,5.73199987411499,6164,,,,b'SUN',,2011A&A...530A.138C,G1V
188,HD 59704 ,07:29:31.4 ,-38:07:21.0 ,H-coron (~1 hr),112.380833333333,-38.1225,b'HD  59704',07 29 31.3743,-38 07 21.587,53.3703,,pc,-0.0966,0.0966,paral,2018yCat.1345....0G,,,,,,,,,6.508999824523926,6179,,,,b'SUN',,2011A&A...530A.138C,F7V
189,HD 59967 ,07:30:42.6 ,-37:20:22.1 ,H-coron (~1 hr),112.6775,-37.339472222222206,b'HD  59967',07 30 42.3839,-37 20 21.704,21.7704,,pc,-0.0129,0.0129,paral,2018yCat.1345....0G,,,,,,,,5.945000171661377,5.252999782562256,5768,4.489999771118164,,,b'',,2003AJ....125.1598L,G3V
190,HIP 36832 ,07:34:28.0 ,-52:58:05.4 ,H-coron (~1 hr),113.616666666667,-52.9681666666667,b'HD  61033',07 34 27.9656,-52 58 05.370,27.7282,,pc,-0.7369,0.7369,paral,2018yCat.1345....0G,,,,,,,,,5.797999858856201,5471,4.420000076293945,,,b'',,2003AJ....125.1598L,G7V(e)
191,HD 61005 ,07:35:47.5 ,-32:12:14.7 ,H-coron (~1 hr); H-coron-pol,113.947916666667,-32.2040833333333,b'HD  61005',07 35 47.3864,-32 12 14.042,36.4861,,pc,-0.0429,0.0429,paral,2018yCat.1345....0G,564000.0,,km,,,,2007ApJ...660.1556R,,6.578000068664551,5408,4.400000095367432,,,b'',,2003AJ....125.1598L,G8Vk
192,TYC 1365-1688-1,07:36:01.1 ,18:08:29.5 ,H-coron (~1 hr),114.004583333333,18.1415277777778,b'HD  60593',07 36 01.1307,+18 08 29.516,53.4334,,pc,-0.1653,0.1653,paral,2018yCat.1345....0G,,,,,,,,,7.327000141143799,0,,,,b'',,,G5
193,HIP 37288 ,07:39:23.0 ,02:11:01.2 ,H-coron (~1 hr),114.84583333333299,2.18366666666667,b'BD+02  1729',07 39 22.8669,+02 11 01.197,15.0578,,pc,-0.0123,0.0123,paral,2018yCat.1345....0G,,,,,,,,7.7769999504089355,6.0920000076293945,3940,,,,b'SUN',,2014MNRAS.443.2561G,M0.0Ve
194,HD 62237 ,07:42:26.5 ,-16:17:00.3 ,H-coron (~1 hr),115.610416666667,-16.2834166666667,b'HD  62237',07 42 26.5643,-16 17 00.379,124.7723,,pc,-1.275,1.275,paral,2018yCat.1345....0G,,,,,,,,,7.949999809265137,0,,,,b'',,,G6IV/V
195,HIP 37563 ,07:42:36.1 ,-59:17:51.0 ,H-coron (~1 hr),115.650416666667,-59.2975,b'HD  62850',07 42 35.9388,-59 17 50.739,32.9118,,pc,-0.0277,0.0277,paral,2018yCat.1345....0G,,,,,,,,,5.86299991607666,5860,4.380000114440918,,,b'',,2003AJ....125.1598L,G3V
196,HIP 37718 ,07:44:12.5 ,-50:27:24.2 ,H-coron (~1 hr),116.052083333333,-50.456722222222204,b'HD  63008',07 44 12.3023,-50 27 24.213,30.0843,,pc,-0.0221,0.0221,paral,2018yCat.1345....0G,,,,,,,,,5.441999912261963,6220,4.389999866485596,,,b'',,2003AJ....125.1598L,F9VFe-0.5
197,HIP 37727 ,07:44:16.5 ,-50:27:59.8 ,H-coron (~1 hr),116.06875,-50.4666111111111,b'CD-50  2948',07 44 16.2710,-50 27 59.814,30.0801,,pc,-0.0274,0.0274,paral,2018yCat.1345....0G,,,,,,,,,6.0269999504089355,5703,,,,b'SUN',,2011A&A...530A.138C,G5V
198,GJ 285 ,07:44:40.2 ,03:33:08.8 ,H-coron (~1 hr),116.1675,3.55244444444444,b'V* YZ CMi',07 44 39.7657,+03 33 08.877,5.9874,,pc,-0.0021,0.0021,paral,2018yCat.1345....0G,,,,,,,,8.262999534606934,6.005000114440918,3242,,,,b'SUN',,2014MNRAS.443.2561G,M4.0Ve
199,HIP 37879 ,07:45:50.9 ,-07:31:46.4 ,H-coron (~1 hr),116.462083333333,-7.529555555555559,b'HD  62883',07 45 50.9181,-07 31 46.756,58.2343,,pc,-0.2289,0.2289,paral,2018yCat.1345....0G,,,,,,,,,6.1529998779296875,6157,,,,b'SUN',,2011A&A...530A.138C,F5V
200,HD 63608 ,07:46:17.0 ,-59:48:34.0 ,H-coron (~1 hr),116.570833333333,-59.8094444444444,b'HD  63608',07 46 16.8391,-59 48 34.194,33.8056,,pc,-0.0299,0.0299,paral,2018yCat.1345....0G,,,,,,,,,6.495999813079834,5250,4.559999942779541,,,b'',,2003AJ....125.1598L,K0IV-V(k)
200,HD 63608 ,07:46:17.0 ,-59:48:34.0 ,H-coron (~1 hr),116.570833333333,-59.8094444444444,b'HD  63608',07 46 16.8391,-59 48 34.194,33.8056,,pc,-0.0299,0.0299,paral,2018yCat.1345....0G,,,,,,,,,6.495999813079834,5250,4.559999942779541,,,b'',,2003AJ....125.1598L,K0IV-V(k)
201,HR 3070 ,07:49:12.9 ,-60:17:01.0 ,H-coron (~1 hr),117.30375,-60.2836111111111,b'HD  64185',07 49 12.7446,-60 17 01.372,33.7667,,pc,-0.0734,0.0734,paral,2018yCat.1345....0G,,,,,,,,,4.859000205993652,6702,4.070000171661377,,,b'',,2003AJ....125.1598L,F4V
202,HIP 38188 ,07:49:29.3 ,-54:54:04.4 ,H-coron (~1 hr),117.372083333333,-54.9012222222222,b'HD  64122',07 49 29.2652,-54 54 03.838,80.6569,,pc,-0.1932,0.1932,paral,2018yCat.1345....0G,,,,,,,,,7.290999889373779,6392,,,,b'SUN',,2011A&A...530A.138C,F6/7V
203,BD +07 1919 ,08:07:09.1 ,07:23:00.1 ,H-coron (~1 hr),121.787916666667,7.38336111111111,b'BD+07  1919',08 07 09.0946,+07 23 00.190,,,,,,,,,,,,,,,,,4521,4.639999866485596,,,b'SUN',,2014MNRAS.442..220F,K8V
204,TYC 195-2572-1,08:11:15.1 ,01:16:36.4 ,H-coron (~1 hr),122.81291666666701,1.27677777777778,b'HD  68143',08 11 15.0578,+01 16 36.355,80.1468,,pc,-1.3669,1.3669,paral,2018yCat.1345....0G,,,,,,,,,7.396999835968018,0,,,,b'',,,F3/5+F6/7
205,HIP 40706 ,08:18:33.3 ,-36:39:33.4 ,H-coron (~1 hr); H-coron-pol,124.63875,-36.659277777777795,b'* q Pup',08 18 33.1525,-36 39 33.439,28.4125,,pc,-0.2773,0.2773,paral,2018yCat.1345....0G,,,,,,,,4.110000133514404,4.086999893188477,7790,4.110000133514404,,,b'',,2003AJ....125.1598L,A8V
206,HIP 40916 ,08:21:00.5 ,-52:13:40.9 ,H-coron (~1 hr),125.25208333333299,-52.2280277777778,b'HD  70703',08 21 00.4175,-52 13 40.688,72.7135,,pc,-0.138,0.138,paral,2018yCat.1345....0G,,,,,,,,,6.308000087738037,0,,,,b'',,,A0/1V
207,HD 70573 ,08:22:50.0 ,01:51:34.0 ,H-coron (~1 hr),125.708333333333,1.85944444444444,b'V* V478 Hya',08 22 49.8928,+01 51 33.554,59.2828,,pc,-0.1556,0.1556,paral,2018yCat.1345....0G,,,,,,,,7.999000072479248,7.276000022888184,5960,,,,b'SUN',,2011A&A...530A.138C,G1/2V
208,HIP 41081 ,08:22:55.2 ,-52:07:25.6 ,H-coron (~1 hr); H-coron-pol,125.73,-52.123777777777796,b'HD  71043',08 22 55.1147,-52 07 25.423,73.2488,,pc,-0.3826,0.3826,paral,2018yCat.1345....0G,,,,,,,,,5.870999813079834,9772,,,,b'SUN',,2012A&A...537A.120Z,A0V
209,V* V592 Pup ,08:25:17.7 ,-34:22:01.2 ,H-coron (~1 hr),126.32375,-34.367,b'V* V592 Pup',08 25 17.7026,-34 22 01.245,66.9797,,pc,-0.1463,0.1463,paral,2018yCat.1345....0G,,,,,,,,,6.420000076293945,6023,,,,b'SUN',,2011A&A...530A.138C,G1IV
210,HIP 41373 ,08:26:25.2 ,-52:48:27.0 ,H-coron (~1 hr); H-coron-pol,126.605,-52.8075,b'HD  71722',08 26 25.1326,-52 48 26.985,69.3342,,pc,-0.2702,0.2702,paral,2018yCat.1345....0G,,,,,,,,,5.90500020980835,9134,,,,b'SUN',,2006A&A...458..293P,A0V
211,HIP 41889 ,08:32:30.5 ,15:49:26.2 ,H-coron (~1 hr),128.127083333333,15.8239444444444,b'V* FR Cnc',08 32 30.4117,+15 49 26.232,35.5634,,pc,-0.0837,0.0837,paral,2018yCat.1345....0G,,,,,,,,,7.455999851226807,0,,,,b'',,,K8V
212,HD 72687 ,08:33:15.4 ,-29:57:23.8 ,H-coron (~1 hr); H-coron-pol,128.314166666667,-29.9566111111111,b'HD  72687',08 33 15.3227,-29 57 23.718,45.4358,,pc,-0.0853,0.0853,paral,2018yCat.1345....0G,,,,,,,,,6.771999835968018,5796,,,,b'SUN',,2011A&A...530A.138C,G5V
213,HIP 42172 ,08:35:51.0 ,06:37:12.8 ,H-coron (~1 hr),128.9625,6.620222222222219,b'HD  72945',08 35 50.8245,+06 37 12.780,26.2801,,pc,-0.0903,0.0903,paral,2018yCat.1345....0G,,,,,,,,5.400000095367432,4.760000228881836,6392,4.630000114440918,0.05999999865889549,,b'SUN',,2006AJ....131.3069L,F8V
214,V401 Hya ,08:37:50.5 ,-06:48:25.2 ,H-coron (~1 hr),129.46041666666702,-6.807,b'V* V401 Hya',08 37 49.9444,-06 48 24.777,24.3417,,pc,-0.0258,0.0258,paral,2018yCat.1345....0G,,,,,,,,6.0289998054504395,5.317999839782715,5848,4.5,0.1379999965429306,,b'SUN',,2014A&A...572A..48R,G8/K0(IV)
215,* eta Cha ,08:41:19.5 ,-78:57:48.0 ,H-coron (~1 hr); H-coron-pol,130.33125,-78.9633333333333,b'* eta Cha',08 41 19.3329,-78 57 48.102,99.5599,,pc,-0.904,0.904,paral,2018yCat.1345....0G,,,,,,,,,5.7210001945495605,12487,,,,b'SUN',,2005A&A...444..941P,B8V
216,HIP 42806 ,08:43:17.2 ,21:28:06.9 ,H-coron (~1 hr),130.821666666667,21.468583333333303,b'* gam Cnc',08 43 17.0184,+21 28 06.600,50.8864,,pc,-1.1873,1.1873,paral,2018yCat.1345....0G,,,,,,,,4.639999866485596,4.788000106811523,9311,,,,b'SUN',,2012A&A...537A.120Z,A1IV
217,HIP 42808 ,08:43:18.0 ,-38:52:57.0 ,H-coron (~1 hr),130.825,-38.8825,b'HD  74576',08 43 17.5790,-38 52 56.570,11.186,,pc,-0.0032,0.0032,paral,2018yCat.1345....0G,,,,,,,,,4.440999984741211,4925,4.570000171661377,,,b'',,2003AJ....125.1598L,K3V
218,HIP 43290 ,08:49:05.7 ,-39:57:16.0 ,H-coron (~1 hr),132.27375,-39.9544444444444,b'HD  75519',08 49 05.5063,-39 57 15.798,36.5091,,pc,-0.0488,0.0488,paral,2018yCat.1345....0G,,,,,,,,,6.331999778747559,5746,4.510000228881836,,,b'',,2003AJ....125.1598L,G8V
219,HIP 43771 ,08:54:57.2 ,-24:23:39.4 ,H-coron (~1 hr),133.738333333333,-24.394277777777802,b'HD  76378',08 54 56.8060,-24 23 39.440,33.684,,pc,-0.0419,0.0419,paral,2018yCat.1345....0G,,,,,,,,,6.625999927520752,0,,,,b'',,,K2VCN+1
220,HIP 43970 ,08:57:14.9 ,15:19:21.9 ,H-coron (~1 hr); H-coron-pol,134.312083333333,15.32275,b'* omi01 Cnc',08 57 15.0235,+15 19 21.969,48.4013,,pc,-0.4147,0.4147,paral,2018yCat.1345....0G,1290000.0,,km,,,,2007ApJ...660.1556R,5.059999942779541,4.9710001945495605,0,,,,b'',,,A5III
221,HIP 44001 ,08:57:35.2 ,15:34:52.6 ,H-coron (~1 hr); H-coron-pol,134.39666666666702,15.581277777777801,b'* omi02 Cnc',08 57 35.2730,+15 34 52.629,48.801,,pc,-0.2332,0.2332,paral,2018yCat.1345....0G,1200000.0,,km,,,,2007ApJ...660.1556R,,5.208000183105469,7852,,,,b'SUN',,2012A&A...537A.120Z,F0IV
222,TYC 6589-789-1,08:59:18.3 ,-24:43:43.9 ,H-coron (~1 hr),134.82625,-24.7288611111111,b'HD  77056',08 59 18.1567,-24 43 43.945,37.8807,,pc,-0.0631,0.0631,paral,2018yCat.1345....0G,,,,,,,,,6.671000003814697,5529,,,,b'SUN',,2011A&A...530A.138C,G8V
223,HIP 44526 ,09:04:20.8 ,-15:54:51.0 ,H-coron (~1 hr),136.086666666667,-15.914166666666699,b'HD  77825',09 04 20.5632,-15 54 51.298,27.3823,,pc,-0.0388,0.0388,paral,2018yCat.1345....0G,,,,,,,,7.703000068664551,6.541999816894531,5100,4.5,-0.05000000074505806,,b'SUN',,2006PASP..118..706P,K2V
224,HIP 45238 ,09:13:12.0 ,-69:43:01.9 ,H-coron (~1 hr),138.3,-69.7171944444444,b'* bet Car',09 13 11.4508,-69 43 01.947,,,,,,,,,,,,,,,1.6100000143051147,1.5700000524520874,8866,3.1600000858306885,,,b'',,2003AJ....125.1598L,A1III-
225,HIP 45950 ,09:22:17.7 ,06:17:51.3 ,H-coron (~1 hr); H-coron-pol,140.57375,6.29758333333333,b'HD  80846',09 22 17.5587,+06 17 51.351,71.9031,,pc,-0.3164,0.3164,paral,2018yCat.1345....0G,,,,,,,,,7.302000045776367,6319,,,,b'SUN',,2011A&A...530A.138C,G0
226,HIP 46422 ,09:27:57.5 ,-66:06:07.7 ,H-coron (~1 hr),141.989583333333,-66.1021388888889,b'HD  82282',09 27 57.6947,-66 06 08.278,38.2085,,pc,-0.0356,0.0356,paral,2018yCat.1345....0G,,,,,,,,7.943999767303467,,5089,4.5,,,b'',,2003AJ....125.1598L,K0V
227,HIP 46634 ,09:30:35.0 ,10:36:00.0 ,H-coron (~1 hr),142.645833333333,10.6,b'SAO  98614',09 30 34.7585,+10 35 59.822,35.3637,,pc,-0.0944,0.0944,paral,2018yCat.1345....0G,,,,,,,,7.800000190734863,6.781000137329102,5152,,,,b'SUN',,2011A&A...530A.138C,
228,HIP 46816 ,09:32:25.6 ,-11:11:04.7 ,H-coron (~1 hr),143.106666666667,-11.1846388888889,b'V* LQ Hya',09 32 25.2734,-11 11 04.687,18.2899,,pc,-0.0224,0.0224,paral,2018yCat.1345....0G,696000.0,,km,,V,,2009A&ARv..17..251S,6.815000057220459,5.5960001945495605,5062,5.119999885559082,0.33000001311302185,,b'SUN',,2005ApJS..159..141V,K1Vp
229,HD 82943 ,09:34:50.7 ,-12:07:46.3 ,H-coron (~1 hr); H-coron-pol,143.71125,-12.1295277777778,b'HD  82943',09 34 50.7370,-12 07 46.363,27.6123,,pc,-0.0288,0.0288,paral,2018yCat.1345....0G,,,,,,,,,,5992,4.420000076293945,0.2800000011920929,,b'',,2018A&A...614A..84S,F9VFe+0.5
230,TYC 6601-1855-1,09:35:12.2 ,-23:50:39.4 ,H-coron (~1 hr),143.800833333333,-23.8442777777778,b'HD  83053',09 35 12.0056,-23 50 39.099,54.5977,,pc,-0.1237,0.1237,paral,2018yCat.1345....0G,,,,,,,,,7.052999973297119,0,,,,b'',,,G3V
231,TYC 4900-1772-1,09:35:12.2 ,-05:50:56.6 ,H-coron (~1 hr),143.800833333333,-5.84905555555556,b'HD  82972',09 35 12.1684,-05 50 57.042,71.0535,,pc,-0.2332,0.2332,paral,2018yCat.1345....0G,,,,,,,,,7.431000232696533,0,,,,b'',,,F7V
232,HD 84075 ,09:36:18.0 ,-78:20:42.0 ,H-coron (~1 hr); H-coron-pol,144.075,-78.345,b'HD  84075',09 36 17.4003,-78 20 41.586,64.098,,pc,-0.0912,0.0912,paral,2018yCat.1345....0G,,,,,,,,,7.241000175476074,0,,,,b'',,,G2V
233,HD 83946 ,09:38:54.1 ,-64:59:26.7 ,H-coron (~1 hr),144.725416666667,-64.99075,b'HD  83946',09 38 54.0079,-64 59 26.735,90.5485,,pc,-0.2214,0.2214,paral,2018yCat.1345....0G,,,,,,,,,7.679999828338623,0,,,,b'',,,F5V
234,TYC 6606-1001-1,09:41:41.9 ,-25:57:51.8 ,H-coron (~1 hr); H-coron-pol,145.424583333333,-25.964388888888898,b'HD  84040',09 41 41.7675,-25 57 51.698,71.6096,,pc,-0.2374,0.2374,paral,2018yCat.1345....0G,,,,,,,,,7.322999954223633,0,,,,b'',,,F7V
235,CPD-55 2452B ,09:42:40.6 ,-55:49:53.4 ,H-coron (~1 hr),145.669166666667,-55.8315,b'HD  84330B',09 42 40.1968,-55 49 53.848,43.7004,,pc,-0.0709,0.0709,paral,2018yCat.1345....0G,,,,,,,,,5.980000019073486,0,,,,b'',,,G3V
236,TYC 8589-1882-1,09:42:40.8 ,-55:49:55.0 ,H-coron (~1 hr),145.67,-55.831944444444396,b'HD  84330A',09 42 40.5219,-55 49 55.251,43.695,,pc,-0.0717,0.0717,paral,2018yCat.1345....0G,,,,,,,,,5.900000095367432,0,,,,b'',,,G1V
